Bench,Name,LotNumber
1,Black,BASN115289 098536
1,Red,DXN116839 227823
1,Blue,DXN116386 226836
1,Yellow,DXN112849 921388
1,Contact,BASN115311 092193
1,Clear,BC89996 026617
1,Label,DXN103723 233292
1,BlackBMS,DXN113867 738582
1,BMS,DXN116668 161742
2,Black,BASN115289 098536
2,Red,DXN116839 315470
2,Blue,DXN116386 226836
2,Yellow,DXN112849 921388
2,Contact,DXN111641 362803
2,Clear,BC89996 026617
2,Label,DXN103723 233292
2,BlackBMS,DXN113867 738582
2,BMS,DXN116668 161742
3,Black,BASN115289 098536
3,Red,DXN116839 212302
3,Blue,DXN116386 226836
3,Yellow,DXN112849 000321
3,Contact,BASN115311 092126
3,Clear,BC89996 026617
3,BlackBMS,DXN113867 738582
3,Label,DXN103723 233292
3,BMS,DXN116668 161742
4,Black,BASN115289 095855
4,Red,DXN116839 227823
4,Blue,DXN116386 226836
4,Yellow,DXN112849 921388
4,Contact,BASN115311 092193
4,Clear,BC89996 026617
4,Label,DXN103723 233292
4,BlackBMS,DXN113867 738582
4,BMS,DXN116668 161742
5,Black,BASN115289 095855
5,Red,DXN116839 227823
5,Blue,DXN116386 226836
5,Yellow,DXN112849 921388
5,Contact,BASN115311 089004
5,Clear,BC89996 026617
5,Label,DXN103723 233292
5,BlackBMS,DXN113867 738582
5,BMS,DXN116668 161742
